Employee ID,Date of Joining,Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate
fffe31003600360039003900,27-09-2008,Male,Product,Yes,0,1,0.8,0.05
fffe31003500340038003100,28-03-2008,Female,Service,Yes,2,4,2.9,0.22
fffe32003400320034003800,12-03-2008,Female,Service,Yes,1,3,5,0.39
fffe31003300310036003300,20-05-2008,Male,Service,Yes,1,4,6.9,0.52
fffe33003100300031003200,17-09-2008,Female,Service,No,3,5,4.7,0.39
fffe31003300310037003900,13-02-2008,Female,Service,No,1,3,2,0.11
fffe3300300036003900,19-09-2008,Female,Service,No,2,4,5.4,0.44
fffe3300360039003000,03-07-2008,Male,Product,No,2,5,6.1,0.5
fffe3500340030003800,27-10-2008,Female,Product,Yes,1,4,5.1,0.41
fffe3800390038003000,09-08-2008,Female,Service,Yes,1,2,3.8,
fffe31003500310038003800,22-01-2008,Male,Product,No,4,9,,0.76
fffe340035003800,15-04-2008,Female,Service,Yes,3,5,4.7,0.43
fffe31003700300036003800,26-10-2008,Male,Service,Yes,3,5,5.4,0.46
fffe32003900320033003900,31-01-2008,Female,Service,No,4,7,9.1,0.85
fffe380031003300,03-01-2008,Male,Service,Yes,1,3,5,0.35
fffe33003200330030003500,13-03-2008,Male,Product,No,1,1,0,0
fffe33003300390037003700,27-03-2008,Male,Product,Yes,2,4,4.3,0.34
fffe31003500380034003100,20-08-2008,Female,Service,Yes,2,,6.7,0.44
fffe32003500370036003100,11-10-2008,Female,Product,No,2,5,5.7,0.55
fffe33003200300033003500,15-11-2008,Male,Service,Yes,4,6,6.8,0.62
fffe32003500370037003600,17-08-2008,Male,Service,No,3,6,7.6,0.72
fffe32003400380030003100,30-11-2008,Male,Product,Yes,3,8,8.3,0.71
fffe32003800330033003400,08-08-2008,Female,Product,No,1,3,5.5,0.39
fffe32003500360037003200,28-06-2008,Female,Service,No,1,3,5.3,0.48
fffe31003700350033003000,06-05-2008,Female,Service,No,3,7,8,0.7
fffe3900300032003700,17-12-2008,Male,Service,Yes,4,6,6.4,0.56
fffe3400320031003800,08-09-2008,Female,Service,Yes,1,3,3.6,0.27
fffe3300360035003600,04-07-2008,Female,Product,Yes,2,5,7,0.66
fffe31003900360033003300,28-10-2008,Female,Product,No,3,7,7.6,0.56
fffe32003800300036003600,06-05-2008,Male,Service,No,2,5,8.7,0.79
fffe31003900310039003200,19-02-2008,Female,Product,Yes,0,1,2.6,0.18
fffe3400390037003700,08-04-2008,Female,Service,Yes,2,4,4.7,0.33
fffe31003600300039003700,11-02-2008,Male,Service,Yes,2,4,6.4,0.4
fffe33003100380034003500,02-03-2008,Female,Service,No,2,5,5.8,0.39
fffe3800380039003400,10-08-2008,Female,Service,No,1,1,3.3,0.23
fffe31003500390038003000,04-01-2008,Female,Product,Yes,2,4,5.9,0.45
fffe3600310036003700,12-10-2008,Female,Product,No,2,,7.8,0.67
fffe3800390030003800,14-11-2008,Male,Product,Yes,1,3,7,0.52
fffe3300390033003100,02-09-2008,Female,Service,No,4,7,7.2,0.6
fffe3900330037003500,04-10-2008,Male,Service,Yes,3,7,7.9,0.59
fffe31003400350030003200,31-05-2008,Female,Product,No,3,5,,
fffe3300360038003700,16-09-2008,Female,Service,Yes,1,3,5.9,0.36
fffe32003400390034003500,03-03-2008,Male,Service,No,1,3,4.4,0.29
fffe33003100300035003600,21-02-2008,Male,Service,Yes,2,5,5.2,0.34
fffe31003900380032003800,26-03-2008,Female,Product,Yes,2,4,5.3,0.34
fffe3900340036003300,03-02-2008,Male,Service,No,3,5,,
fffe31003900300036003900,04-12-2008,Female,Service,No,4,6,,0.67
fffe31003600300030003000,05-09-2008,Female,Product,Yes,4,,8.9,0.76
fffe390031003100,17-09-2008,Female,Product,Yes,3,4,5.2,0.46
fffe31003300380039003700,24-02-2008,Male,Service,Yes,2,5,4.5,0.36
fffe32003700390032003000,09-12-2008,Female,Product,No,2,3,6.6,0.45
fffe32003000300035003100,19-01-2008,Female,Product,Yes,3,5,3.8,0.27
fffe33003400340033003100,26-01-2008,Male,Product,No,3,7,7.6,0.65
fffe32003200360039003000,10-05-2008,Female,Service,Yes,1,4,,
fffe3900380037003500,16-05-2008,Female,Product,Yes,3,6,5.6,0.34
fffe31003300380033003700,10-08-2008,Female,Service,Yes,1,3,5.4,0.37
fffe33003000340037003600,28-06-2008,Male,Product,Yes,1,2,4.9,0.25
fffe32003600370033003700,07-05-2008,Male,Service,No,2,5,7.3,0.57
fffe3600320032003900,03-05-2008,Male,Service,No,2,5,5.6,0.52
fffe31003100360037003000,16-09-2008,Female,Product,Yes,3,4,5.7,
fffe3400330035003800,16-10-2008,Female,Product,No,4,8,7.8,0.75
fffe3600380039003200,09-07-2008,Female,Product,Yes,4,7,6.7,0.55
fffe31003700330032003400,11-03-2008,Female,Service,No,1,4,6.5,0.43
fffe32003900320030003300,15-08-2008,Female,Service,Yes,0,1,1.8,0.1
fffe32003600370036003700,25-08-2008,Female,Product,No,3,6,8.1,0.68
fffe3500320039003100,14-12-2008,Male,Product,No,2,5,6.9,
fffe33003400300034003600,26-04-2008,Male,Service,Yes,3,7,6.4,0.56
fffe3400350037003000,26-01-2008,Male,Service,Yes,3,8,7.2,0.73
fffe32003800370034003800,05-09-2008,Female,Service,No,2,5,8.6,0.7
fffe31003500390039003000,03-04-2008,Male,Service,No,2,5,,0.58
fffe31003300330030003000,19-12-2008,Male,Product,No,4,8,9.5,0.88
fffe31003100370035003400,13-08-2008,Male,Product,Yes,2,6,6.8,0.63
fffe3100360037003800,08-03-2008,Female,Service,No,2,5,6.5,0.62
fffe3500390039003700,14-09-2008,Female,Service,Yes,2,3,3.5,0.25
fffe33003400350037003000,24-04-2008,Male,Service,No,2,3,4.8,0.4
fffe3300340033003900,05-02-2008,Male,Product,No,3,8,7.6,0.77
fffe32003800380038003500,17-02-2008,Male,Product,Yes,3,6,6.2,0.58
fffe31003700380039003600,11-09-2008,Female,Product,Yes,3,6,3.6,0.3
fffe32003600360038003400,16-04-2008,Male,Product,No,3,6,8,0.61
fffe31003000340032003700,24-10-2008,Female,Service,Yes,3,5,6,0.4
fffe3300380034003600,05-03-2008,Female,Service,Yes,1,3,3.8,0.33
fffe32003200320034003000,03-04-2008,Female,Product,Yes,1,2,2.4,0.06
fffe31003100380033003600,08-08-2008,Male,Service,Yes,1,4,4.3,0.36
fffe32003800310031003100,18-09-2008,Female,Service,Yes,1,2,3.7,0.28
fffe31003800370033003800,25-09-2008,Male,Service,Yes,2,6,,
fffe32003000330031003700,01-03-2008,Male,Product,Yes,2,5,5.6,0.37
fffe32003500340034003400,23-05-2008,Female,Service,Yes,0,1,1,0.03
fffe33003300310035003800,07-09-2008,Female,Product,Yes,2,5,7.2,0.67
fffe32003400360033003800,23-03-2008,Male,Service,Yes,1,3,6.7,0.46
fffe31003000300032003600,25-01-2008,Female,Service,Yes,1,2,,
fffe31003700330032003300,29-12-2008,Female,Service,Yes,3,8,7.5,0.72
fffe3900370030003600,15-06-2008,Female,Service,No,3,6,,0.69
fffe3900360033003500,27-03-2008,Female,Service,No,4,7,7.5,0.65
fffe31003100350037003700,24-02-2008,Female,Product,No,0,1,4,0.24
fffe31003400350033003700,30-11-2008,Female,Service,Yes,1,3,5.3,0.41
fffe3100390034003700,03-10-2008,Female,Product,No,2,5,7.5,0.68
fffe31003700380032003400,17-01-2008,Female,Service,Yes,1,2,,0.42
fffe31003300310035003400,30-01-2008,Male,Product,No,4,7,7.7,0.72
fffe33003400390035003500,28-03-2008,Male,Service,Yes,0,2,4.4,0.33
fffe31003600300032003500,21-10-2008,Female,Service,Yes,2,3,,0.37
fffe3700370031003700,03-02-2008,Male,Service,Yes,4,6,,0.6
fffe31003400340031003500,13-10-2008,Male,Service,Yes,3,5,6.5,0.48
fffe32003300340038003400,08-02-2008,Male,Product,Yes,2,4,5.5,0.48
fffe31003700310033003400,25-11-2008,Male,Service,No,2,5,5,0.36
fffe32003000330033003800,23-04-2008,Female,Service,Yes,1,1,,0.24
fffe31003400380038003100,07-11-2008,Male,Product,No,4,10,9.2,0.91
fffe3400350037003400,20-06-2008,Male,Product,Yes,2,5,5,
fffe31003000360035003700,23-12-2008,Female,Product,Yes,1,2,4.1,0.24
fffe33003400330035003900,24-11-2008,Female,Service,No,3,6,5.5,0.45
fffe3900350033003600,21-06-2008,Male,Service,No,5,9,8.8,0.85
fffe31003000300037003800,20-05-2008,Female,Service,No,2,4,5.5,0.34
fffe3900300031003000,29-11-2008,Male,Product,Yes,1,3,5.9,0.36
fffe33003100360037003700,11-08-2008,Female,Service,Yes,2,4,4.5,0.34
fffe3900350039003000,29-04-2008,Male,Product,No,3,6,8,0.59
fffe31003200370030003900,22-07-2008,Female,Service,Yes,2,4,5.8,0.44
fffe3800380035003500,19-11-2008,Male,Service,No,1,3,4.4,0.38
fffe32003000310034003600,19-12-2008,Female,Product,Yes,2,4,6.1,
fffe31003700380033003600,29-12-2008,Male,Product,No,3,6,7.5,0.59
fffe33003400360035003000,20-06-2008,Female,Service,No,2,7,8,0.7
fffe31003200370036003300,31-08-2008,Male,Product,No,2,3,6.1,0.42
fffe32003000320030003900,26-05-2008,Male,Product,Yes,1,2,5.1,0.46
fffe31003800390034003900,25-12-2008,Female,Service,Yes,3,4,,0.48
fffe32003800370033003600,14-02-2008,Female,Service,Yes,3,5,4.7,0.39
fffe33003000360035003300,04-03-2008,Female,Service,Yes,3,5,5.2,0.42
fffe31003100370037003500,06-10-2008,Male,Product,Yes,0,1,0,0
fffe32003700320037003100,21-10-2008,Female,Service,Yes,2,5,5.1,0.46
fffe31003800300037003300,16-08-2008,Male,Product,Yes,1,2,4.4,0.3
fffe32003700370030003400,29-10-2008,Female,Product,No,4,6,6.9,0.63
fffe31003400310039003400,15-07-2008,Female,Service,No,2,5,5.3,0.45
fffe3300370039003900,21-04-2008,Male,Service,No,2,3,,0.49
fffe3400350038003300,01-09-2008,Female,Service,Yes,3,6,6,0.58
fffe31003900300039003700,06-01-2008,Male,Product,No,4,7,8.6,0.67
fffe32003400330033003400,20-03-2008,Male,Service,No,2,5,7.3,0.71
fffe32003800310033003800,14-04-2008,Female,Service,Yes,1,3,5.5,0.48
fffe3700360035003600,21-05-2008,Male,Service,Yes,1,3,2.9,0.22
fffe32003000340039003700,11-06-2008,Female,Product,No,3,6,5.1,0.43
fffe3300350035003000,03-10-2008,Male,Service,Yes,4,8,,0.74
fffe3800350037003300,16-02-2008,Male,Service,No,2,5,6.4,0.57
fffe31003900330038003200,05-02-2008,Female,Service,Yes,2,3,,0.22
fffe3100360031003700,11-08-2008,Male,Service,Yes,1,,4.8,
fffe31003600380030003300,19-11-2008,Female,Service,No,3,,5.8,0.47
fffe33003400360039003100,29-10-2008,Female,Service,Yes,3,4,6.1,0.47
fffe33003000300033003700,11-06-2008,Female,Service,Yes,3,5,5.3,0.47
fffe3400370031003000,13-10-2008,Female,Product,Yes,1,4,5.5,0.34
fffe32003800370039003300,10-10-2008,Female,Service,Yes,1,3,5.5,0.37
fffe3400310036003300,26-09-2008,Female,Service,No,3,7,7.8,0.8
fffe31003100380031003200,01-06-2008,Male,Product,No,4,8,8.9,0.8
fffe3200390038003900,11-07-2008,Female,Product,No,2,,,0.36
fffe32003000370031003000,23-07-2008,Female,Service,Yes,1,4,6.9,0.49
fffe31003500390038003500,10-07-2008,Female,Service,Yes,1,3,,0.35
fffe31003400340032003700,09-08-2008,Male,Service,Yes,0,1,0,0
fffe33003000340033003600,05-10-2008,Male,Service,Yes,4,9,9.3,0.86
fffe31003500340030003900,14-03-2008,Female,Service,Yes,1,2,4.6,0.33
fffe3800310033003200,04-08-2008,Female,Service,Yes,2,5,7.3,
fffe31003200370033003800,14-06-2008,Female,Service,Yes,3,6,5.7,0.5
fffe33003200300031003300,23-10-2008,Female,Service,Yes,2,4,4.5,0.34
fffe32003100380035003300,22-02-2008,Male,Product,Yes,0,2,4.7,0.23
fffe3400340035003800,04-02-2008,Male,Product,No,4,8,9.9,0.92
fffe33003200380031003800,19-05-2008,Female,Service,Yes,3,6,6.3,0.44
fffe33003200330034003200,20-09-2008,Female,Service,Yes,1,3,3.6,0.15
fffe33003000310038003300,08-03-2008,Female,Service,Yes,0,2,4.3,0.32
fffe32003200390032003500,01-08-2008,Female,Service,Yes,3,4,6.5,0.43
fffe32003600360035003100,18-01-2008,Male,Service,No,4,9,8.7,0.78
fffe360030003700,04-03-2008,Male,Service,Yes,0,1,3.1,0.23
fffe31003200320037003900,13-07-2008,Male,Service,Yes,2,4,3.6,0.21
fffe3100320034003200,15-08-2008,Male,Service,Yes,1,2,3.6,0.23
fffe3600390030003500,04-11-2008,Female,Product,Yes,3,5,5.7,0.4
fffe32003100360038003100,24-11-2008,Female,Service,Yes,2,5,5.7,0.38
fffe32003800370033003900,16-04-2008,Female,Service,No,0,1,0.5,0
fffe31003100300038003900,05-12-2008,Female,Product,No,2,4,3.9,0.33
fffe310030003300,27-07-2008,Male,Product,Yes,3,,7.3,0.63
fffe3600350036003900,07-12-2008,Female,Product,No,2,5,7,0.62
fffe32003200330038003600,13-10-2008,Female,Service,No,2,4,,0.39
fffe3700340032003100,15-06-2008,Male,Service,Yes,3,4,5.4,0.36
fffe32003100390036003700,04-06-2008,Female,Service,Yes,2,3,3.7,0.28
fffe31003600360035003400,17-12-2008,Female,Product,No,3,,7.4,0.56
fffe31003800360038003300,09-09-2008,Female,Service,Yes,2,4,6.1,0.41
fffe32003800330034003000,05-02-2008,Male,Service,Yes,0,1,2.8,0.1
fffe32003400300033003500,01-11-2008,Female,Service,No,2,4,6.9,0.63
fffe31003400390032003000,28-01-2008,Male,Service,Yes,3,7,7.3,0.67
fffe32003600300034003200,14-04-2008,Male,Service,No,3,7,7.2,0.62
fffe32003200380037003700,04-04-2008,Male,Service,Yes,2,7,9,0.77
fffe31003500330036003700,06-07-2008,Female,Service,No,0,1,0,0
fffe32003900310031003300,19-12-2008,Male,Product,Yes,2,6,5.6,0.51
fffe33003100310035003200,28-12-2008,Female,Service,Yes,2,4,6.8,0.61
fffe3300330034003200,11-02-2008,Female,Service,Yes,1,3,5.1,0.41
fffe3400360032003100,08-07-2008,Female,Service,Yes,3,5,6,0.53
fffe3700390038003900,16-12-2008,Female,Service,Yes,1,3,6.8,0.5
fffe32003700330036003100,17-11-2008,Male,Product,Yes,2,5,6.5,0.55
fffe3100310034003000,13-07-2008,Male,Service,Yes,4,6,5.7,0.49
fffe31003400370037003600,21-01-2008,Male,Service,Yes,2,,6.9,0.57
fffe31003500330036003100,19-10-2008,Male,Product,Yes,3,5,6.1,0.44
fffe3200340032003800,07-01-2008,Male,Service,Yes,3,7,8.8,0.7
fffe32003500340036003900,21-10-2008,Female,Service,Yes,1,2,6.8,0.48
fffe3500340030003100,24-12-2008,Male,Product,No,0,,3.8,0.23
fffe31003100320034003200,09-06-2008,Male,Service,No,4,7,,0.79
fffe32003500330030003600,19-01-2008,Male,Service,No,2,5,6.8,0.6
fffe32003800370038003100,13-09-2008,Male,Product,Yes,2,4,5.5,0.48
fffe33003400390038003700,28-10-2008,Female,Service,Yes,2,3,4.5,0.21
fffe31003600370032003800,22-07-2008,Female,Product,No,2,2,2.6,0.15
fffe32003400350038003000,14-10-2008,Male,Service,No,5,10,10,0.98
fffe31003100350037003800,08-11-2008,Female,Service,Yes,1,2,4.3,0.25
fffe32003700310038003500,16-02-2008,Male,Product,No,3,8,8.8,0.7
fffe32003400390031003600,11-07-2008,Female,Service,No,4,7,7.2,0.69
fffe3500350032003300,02-09-2008,Male,Service,Yes,1,3,4.4,0.33
fffe3300360036003400,04-12-2008,Female,Service,No,2,4,5.5,0.44
fffe33003200380032003700,26-12-2008,Female,Product,No,2,5,7.8,0.57
fffe33003300320037003500,08-05-2008,Male,Product,Yes,1,3,4.5,0.27
fffe32003200330034003200,12-08-2008,Male,Service,No,4,6,6.7,0.67
fffe31003000340033003200,26-01-2008,Female,Service,No,1,1,3.4,0.25
fffe390035003100,24-08-2008,Female,Service,No,0,1,3.6,0.18
fffe3500300035003400,03-02-2008,Female,Product,No,3,7,7.9,0.6
fffe32003500370035003000,30-09-2008,Female,Service,Yes,2,5,5.3,0.39
fffe31003700340033003400,21-09-2008,Female,Service,Yes,1,3,5.3,0.34
fffe33003400340030003900,10-11-2008,Female,Product,No,3,6,5.5,0.52
fffe33003100320037003700,28-04-2008,Female,Product,No,1,3,5.4,0.42
fffe3900300039003300,25-12-2008,Male,Product,Yes,1,1,4.8,0.28
fffe31003600330039003300,09-01-2008,Female,Product,Yes,2,4,6.2,0.38
fffe3500370038003800,18-05-2008,Male,Product,No,4,6,6.9,0.59
fffe3200340033003500,23-01-2008,Female,Product,Yes,2,5,8,0.62
fffe31003700370036003700,14-09-2008,Male,Product,No,3,7,8.7,0.76
fffe3200350035003100,09-08-2008,Female,Service,No,1,3,4.2,0.33
fffe33003100310030003900,08-12-2008,Male,Service,No,2,2,4.2,0.28
fffe33003000370038003600,25-01-2008,Female,Service,No,3,6,7.2,0.62
fffe31003900330039003900,08-10-2008,Female,Service,Yes,2,4,5.2,0.45
fffe31003500380036003900,14-09-2008,Male,Service,Yes,2,2,3.3,0.24
fffe3400310039003500,08-08-2008,Male,Product,No,0,1,1.6,
fffe33003100350036003000,27-09-2008,Male,Service,No,2,5,6.3,0.53
fffe340039003600,03-05-2008,Male,Service,Yes,2,4,6.8,0.59
fffe3700330038003100,24-07-2008,Female,Product,Yes,0,1,2,
fffe3700300032003000,21-05-2008,Male,Product,Yes,3,6,,0.65
fffe31003500390034003500,04-02-2008,Male,Product,Yes,3,5,3.8,0.29
fffe3200370032003800,12-05-2008,Female,Product,Yes,1,2,2.7,0.19
fffe3200370037003600,21-02-2008,Female,Service,No,4,7,8.1,0.65
fffe32003900350036003500,09-12-2008,Female,Product,Yes,1,1,1.3,0.02
fffe33003000380035003300,16-10-2008,Female,Service,Yes,2,4,7,0.47
fffe31003800320039003800,16-05-2008,Male,Service,No,4,7,,0.82
fffe31003300310039003200,26-10-2008,Female,Service,No,2,5,6.6,0.43
fffe32003800340031003500,22-09-2008,Female,Service,No,2,5,7.9,0.61
fffe31003400320038003900,06-08-2008,Female,Product,No,0,2,4.7,0.33
fffe32003700300037003600,03-05-2008,Female,Service,No,2,4,7.9,0.6
fffe32003600380034003200,03-03-2008,Female,Product,No,2,6,6.4,0.52
fffe31003800360034003800,30-04-2008,Male,Service,Yes,5,9,9.3,0.93
fffe31003500340036003400,20-12-2008,Male,Product,No,2,4,6.3,0.47
fffe3100350036003700,01-09-2008,Male,Service,No,2,,6.4,0.53
fffe31003900380039003900,02-03-2008,Male,Service,No,3,7,6.9,0.51
fffe31003300390037003400,08-02-2008,Female,Service,Yes,1,1,4.9,0.26
fffe32003500380038003000,13-04-2008,Female,Product,Yes,3,4,5.2,0.42
fffe33003100340038003200,20-11-2008,Female,Service,No,2,5,6.2,0.58
fffe32003600340033003900,19-11-2008,Female,Service,Yes,1,2,5.3,0.3
fffe32003500350030003000,12-08-2008,Male,Product,Yes,3,6,6.2,0.56
fffe31003700300039003800,12-04-2008,Male,Product,No,2,5,6.1,0.57
fffe32003400350032003300,18-11-2008,Female,Service,Yes,2,3,5.5,0.3
fffe32003500350031003700,21-04-2008,Male,Service,No,4,8,9.5,0.86
fffe3700330033003700,11-08-2008,Male,Product,No,2,6,6.3,0.62
fffe32003300360036003800,25-02-2008,Male,Service,Yes,3,5,5.2,0.41
fffe31003100380035003700,22-06-2008,Male,Service,Yes,1,4,5.1,0.38
fffe32003700330031003200,15-02-2008,Female,Service,Yes,2,5,5.9,0.41
fffe32003300390039003100,22-07-2008,Female,Service,No,2,5,5.8,0.46
fffe32003000340034003200,23-05-2008,Female,Service,No,2,4,5.9,0.44
fffe32003400310034003700,15-08-2008,Female,Product,No,1,1,3.2,0.24
fffe32003100320031003200,24-02-2008,Female,Service,Yes,2,4,6.1,0.39
fffe31003900340030003200,28-01-2008,Female,Service,Yes,3,5,5.7,
fffe3800360038003500,14-02-2008,Female,Service,No,2,4,7.5,0.53
fffe3400380036003000,18-11-2008,Female,Service,No,2,,6,0.53
fffe3900390035003300,24-02-2008,Female,Service,No,2,2,3.9,0.21
fffe31003300360033003500,13-10-2008,Male,Service,No,4,8,8.4,0.77
fffe31003000350034003500,22-12-2008,Female,Product,Yes,1,2,6,0.37
fffe3900360034003800,03-10-2008,Male,Service,No,3,8,,0.93
fffe31003200360030003700,08-09-2008,Female,Service,Yes,4,7,,0.67
fffe3600350037003000,14-03-2008,Male,Service,Yes,1,3,4.9,0.38
fffe31003700330038003800,07-06-2008,Male,Product,Yes,3,4,6.3,0.47
fffe31003500390038003400,31-08-2008,Male,Service,No,4,8,8,0.69
fffe3300360037003100,16-11-2008,Male,Service,No,2,7,7.1,0.72
fffe32003500350032003000,26-06-2008,Male,Service,No,4,8,7.3,0.73
fffe33003300350035003900,11-05-2008,Female,Product,No,4,8,8.2,0.72
fffe31003700330038003900,03-09-2008,Female,Product,No,2,6,7.1,0.58
fffe32003500310036003900,06-03-2008,Female,Service,Yes,2,5,4.5,0.38
fffe33003200390034003100,23-03-2008,Female,Service,Yes,1,4,5,0.36
fffe32003000360039003500,03-11-2008,Male,Service,No,2,5,4.2,0.32
fffe3200370034003700,27-02-2008,Male,Product,Yes,1,3,4.8,0.35
fffe32003600310032003100,24-09-2008,Female,Service,Yes,4,8,9.4,0.83
fffe31003800310037003600,30-09-2008,Male,Service,Yes,4,7,7.9,0.73
